name,address,website,phone_number,reviews_count,reviews_average,latitude,longitude,category,location,source_file
Derma Line Klinika Dermatologjike & Estetike,"Arberi, Rr.Vicianum nr 186/7, Prishtinë 10000",,+383 45 100 450,48.0,4.9,42.6596874,21.1494122,dermatologist,Albania,dermatologist_in_Albania.csv
Swiss Eco Clinic,"Fortuzi, Tiranë, Albania",https://www.swissecoclinic.com/,+355 67 743 3696,97.0,4.9,41.3326074,19.8151962,dermatologist,Albania,dermatologist_in_Albania.csv
Skin Tech Derma Center,"Seksion B, Kati i 4, Tirana Ring Center, Zogu i Zi, Tiranë 1000, Albania",,+355 4 242 1413,63.0,4.9,41.3326816,19.8035842,dermatologist,Albania,dermatologist_in_Albania.csv
Derma Pure Aesthetic,"Rr. Skenderbeu, Fier 9301, Albania",https://instagram.com/dermapure_aesthetic/,+355 69 491 8550,141.0,5.0,40.7347501,19.5622753,dermatologist,Albania,dermatologist_in_Albania.csv
"Klinika Dermatologjike ""A-Derma""","Rruga Don Bosko Ndertesa 3, Hyrja 24, Apartamenti 6, Tiranë 1026, Albania",http://www.aderma.al/,+355 4 240 4060,253.0,4.1,41.3351951,19.8053098,dermatologist,Albania,dermatologist_in_Albania.csv
Klinika Estetike Dermolife - Kirurgjia Italiane,"Rruga Derhemi, Tiranë, Albania",http://www.dermolife.al/,+355 69 600 6550,649.0,4.6,41.3327199,19.8307279,dermatologist,Albania,dermatologist_in_Albania.csv
DERMACLINIC Durrës,"Rruga Hafiz Podgorica, Durrës, Albania",https://ritjanamala.com/,+355 69 488 9918,109.0,5.0,41.3173305,19.4489943,dermatologist,Albania,dermatologist_in_Albania.csv
Klinikë Dermatologjike Venus,"Brigada VIII Nd.Nr2, Ap5, Tiranë 1001, Albania",http://www.venusderm.com/,+355 69 960 8440,85.0,4.5,41.3222916,19.8168225,dermatologist,Albania,dermatologist_in_Albania.csv
"Klinika Mjekësore ""MED ONE""","Rruga Don Bosko 13, Tiranë, Albania",,+355 68 801 7907,34.0,4.8,41.3359508,19.8048192,dermatologist,Albania,dermatologist_in_Albania.csv
Klinika Dermaplus,"Rruga Sami Frashëri, Tiranë, Albania",http://www.dermaplus.al/,+355 69 368 0008,192.0,4.8,41.3244106,19.8127449,dermatologist,Albania,dermatologist_in_Albania.csv
DermX Aesthetic Medicine Clinic,"Pallati Keam International, Rruga Mihal Duri 2 Kati 4 Ap. 13, Tiranë 1002, Albania",https://www.instagram.com/dermx_clinic/,+355 69 602 2322,33.0,5.0,41.3287887,19.812282,dermatologist,Albania,dermatologist_in_Albania.csv
Tiaré Dermatology Clinic,"Rr. Kavajes Nd. 223, H. 18, No.5, Tiranë 1001, Albania",http://www.tiare.al/,+355 69 581 2968,15.0,4.5,41.3222413,19.7957512,dermatologist,Albania,dermatologist_in_Albania.csv
Shpresa Derm,"Fatos Limani, Prishtina 10000",https://www.instagram.com/shpresaderm?igsh=NWNhbDYza2gwYW85,+383 44 159 405,20.0,5.0,42.6474817,21.1709469,dermatologist,Albania,dermatologist_in_Albania.csv
Klinika DermaCheck,"Rruga Sami Frashëri, Tiranë, Albania",https://www.dermacheck.al/,+355 69 204 2178,7.0,5.0,41.3238069,19.8128268,dermatologist,Albania,dermatologist_in_Albania.csv
Bonsai Clinic,"22 Rruga Bajram Kelmendi, Prishtinë 10000",,+383 49 288 433,104.0,4.9,42.6634826,21.1661093,dermatologist,Albania,dermatologist_in_Albania.csv
DermaD,"Afrim Vitia, 1 Svetozar Markoviq, Prishtinë 10000",,+383 44 161 317,18.0,3.9,42.6625136,21.1675858,dermatologist,Albania,dermatologist_in_Albania.csv
MY DERMA CLINIC,"Rruga Egnatia, Durrës, Albania",,+355 69 342 6300,92.0,4.9,41.3137158,19.4495689,dermatologist,Albania,dermatologist_in_Albania.csv
SMartderm-Silvana Mishtaku,"Rezidenca Olimpik, Rruga Prokop Mima, Tiranë 1001, Albania",,+355 69 700 0930,29.0,5.0,41.312537,19.808191,dermatologist,Albania,dermatologist_in_Albania.csv
Dr Rudina Thanasi - Dermatolog - Venerolog,"Rr. Brigada VIII, Shkalla 26, Apartament 404 Tirane, 1019, Albania",http://rudinathanasi.com/,+355 68 202 3331,19.0,4.6,41.3220924,19.8155365,dermatologist,Albania,dermatologist_in_Albania.csv
Derma Plus,"10000 Rruga B, Prishtina 10000",http://www.dp-ks.com/,+383 46 224 224,10.0,4.2,42.6464937,21.1709853,dermatologist,Albania,dermatologist_in_Albania.csv
Skin After Scars,"Lagjja Apollonia, Rruga Jakov Mile, Fier 9301, Albania",https://instagram.com/skin_after_scars?igshid=Yzg5MTU1MDY=,,40.0,5.0,40.7262732,19.555069,dermatologist,Albania,dermatologist_in_Albania.csv
Klinika Dermaskin,"Rruga e Kosovarëve Pallati Dolcka, H.9, Kati 3, Tiranë, Albania",,+355 69 202 2386,27.0,4.9,41.3138688,19.8137498,dermatologist,Albania,dermatologist_in_Albania.csv
Innova Clinic,"Rruga Asim Zeneli, Pallati 12, Kati II Nr.4, Tiranë 1001, Albania",https://innovaclinic.al/,+355 67 700 0088,58.0,5.0,41.3200135,19.8235023,dermatologist,Albania,dermatologist_in_Albania.csv
Fabulous Derma Clinic,"Square 21, Kavaja St, Tiranë 1001, Albania",https://fabulousderma.al/,+355 67 631 8211,27.0,4.9,41.3236552,19.7994038,dermatologist,Albania,dermatologist_in_Albania.csv
Derma ART,"Ahmet Gashi OBJ-4 H-1 LOK Nr.1 Prishtinë, 10000",https://derma-arti.com/,+383 49 263 339,65.0,4.5,42.6445581,21.1696239,dermatologist,Albania,dermatologist_in_Albania.csv
Derma R Clinic,"28 Nëntori, Fushë-Kosovë 10000",,+383 49 157 543,2.0,5.0,42.6415672,21.0953951,dermatologist,Albania,dermatologist_in_Albania.csv
Derma Art Clinic Tiranë,"8RP2+QVG, Tiranë, Albania",,+355 69 389 2600,11.0,5.0,41.3335955,19.8177521,dermatologist,Albania,dermatologist_in_Albania.csv
At'Har Dermatology Clinic,"Rruga Irfan Tomini Pall. 10, Kati 2, Ap. 10, Tiranë 1020, Albania",,+355 67 263 9762,2.0,5.0,41.3198639,19.7981908,dermatologist,Albania,dermatologist_in_Albania.csv
"Ordinanca ""Pro-Derm""","Rruga B, Prishtinë 10000",,+383 44 238 745,99.0,4.9,42.649209,21.1734649,dermatologist,Albania,dermatologist_in_Albania.csv
Lavender Clinic Esthetic,"Rruga Jeronim De Rada, Tiranë, Albania",https://lavenderclinic.al/,+355 69 701 7277,94.0,4.8,41.3271516,19.8246001,dermatologist,Albania,dermatologist_in_Albania.csv
Bioderm - Dr. Hatixhe Mulliqi,"Motrat Qiriazi, Prishtina 10000",https://instagram.com/bioderm.ks?igshid=MzRlODBiNWFlZA==,+383 44 169 327,5.0,5.0,42.6475631,21.1602897,dermatologist,Albania,dermatologist_in_Albania.csv
Dermo Aesthetic,"Pallati Ferrar, Rruga Gjik Kuqali, mbrapa, Tiranë 1010, Albania",,+355 69 660 3968,6.0,5.0,41.3172123,19.8111613,dermatologist,Albania,dermatologist_in_Albania.csv
Anaderm Dermatologic & Cosmetic Clinic,"nr 50 Hilmi Rakovica, Prishtinë 10000",http://www.anadermks.com/,+383 44 300 298,87.0,4.3,42.6544037,21.1712872,dermatologist,Albania,dermatologist_in_Albania.csv
EB,"kulla III, kati 2, Bulevardi Zhan D'Ark, Tiranë 1001, Albania",,+355 69 237 7471,80.0,4.6,41.3222595,19.8082875,dermatologist,Albania,dermatologist_in_Albania.csv
Klinika Dermatologjike dhe Estetike “Ermira Vasili”,"Rruga Pjetër Bogdani, Tiranë, Albania",https://www.facebook.com/Dr.ErmiraVasili/,+355 69 214 8471,11.0,4.3,41.3211829,19.8150111,dermatologist,Albania,dermatologist_in_Albania.csv
Klinika Dermovita,"Rruga Hoxha Tahsim 60, Tiranë 0355, Albania",,+355 69 406 1001,13.0,4.7,41.3310526,19.8284053,dermatologist,Albania,dermatologist_in_Albania.csv
Lumière Clinic Tirana,"Rruga Skender Luarasi, Tiranë 1019, Albania",https://lumiere-clinic.al/,+355 69 701 0222,21.0,4.6,41.3160503,19.8088218,dermatologist,Albania,dermatologist_in_Albania.csv
DIVA PLASTIC SURGERY DERMATOLOGY & LASER CLINIC,"Pallati 7/1, Rruga Ismail Qemali, Tiranë, Albania",http://diva.al/,+355 67 260 0000,139.0,4.9,41.321077,19.818612,dermatologist,Albania,dermatologist_in_Albania.csv
DuoDerm,"Rr Motrat Qiriazi, Prishtina 10000",,,5.0,5.0,42.6482963,21.1601626,dermatologist,Albania,dermatologist_in_Albania.csv
Klinike Dermatologjike Dr. Shk Blerta Gjoni (PhD),"gl/19A2ETZDqBkhrGtJ8?g_st=com.google.maps.preview.copy, https://maps.app.goo, Rruga Qemal Stafa 27, Tiranë, Albania",,+355 67 206 9962,5.0,5.0,41.33068,19.8222763,dermatologist,Albania,dermatologist_in_Albania.csv
Prof. Dr. Başak Kandi / Tirana,"Rr. e Kavajes, Kompleksi SQUARE 21, Kulla 1, Kati 2, Apartamenti 21, Tiranë, Albania",,+355 67 737 4555,22.0,5.0,41.3232496,19.7979839,dermatologist,Albania,dermatologist_in_Albania.csv
"Dr. Irena Savo Jorgaqi - Dermatologe, Specialiste e Mjekesise Estetike","kati 4, Rruga e Kosovareve, Pallati Dolcka, hyrja 1, Tiranë, Albania",,+355 69 202 2386,3.0,3.7,41.3139464,19.8136567,dermatologist,Albania,dermatologist_in_Albania.csv
Klinika Grande,"Square 21, Rruga e Kavajës, Tiranë 1060, Albania",,+355 68 688 8886,223.0,4.8,41.3233062,19.7992632,dermatologist,Albania,dermatologist_in_Albania.csv
ALBGTC Med,"Rruga e Barrikadave, Tiranë 1005, Albania",https://albgtc.com/,+355 69 704 4002,85.0,5.0,41.3316899,19.8204078,dermatologist,Albania,dermatologist_in_Albania.csv
Derma Aesthetic Center by Ndricimi-RM,"Rruga Çameria Nr:6 Rru, Pejë 30000",,+383 48 222 977,4.0,5.0,42.6621038,20.2877494,dermatologist,Albania,dermatologist_in_Albania.csv
Anassa Bllok,"Rruga Ibrahim Rugova, Tiranë 1001, Albania",https://anassa.al/,+355 69 804 5400,49.0,4.7,41.3176778,19.818953,dermatologist,Albania,dermatologist_in_Albania.csv
DermaCare,"14 Ukë Bytyqi, Prishtina 10000",http://www.dermacareks.com/,+383 44 761 000,52.0,4.5,42.6552983,21.1658724,dermatologist,Albania,dermatologist_in_Albania.csv
Este Medical Group Albania,"Kavaja St, Tiranë 1060, Albania",https://estemedicalgroup.al/,+355 69 277 7760,116.0,4.8,41.3267992,19.8062201,dermatologist,Albania,dermatologist_in_Albania.csv
Art DermaMed A&S,"Rruga Antipatrea, Berat 5002, Albania",,+355 69 208 3559,18.0,4.8,40.7047556,19.9527594,dermatologist,Albania,dermatologist_in_Albania.csv
Hair Solution Clinic Albania,"Garden Building, Kavaja St, Tiranë 1001, Albania",https://hairsolutionclinic.com/,+355 69 280 0492,596.0,5.0,41.3266624,19.8058766,dermatologist,Albania,dermatologist_in_Albania.csv
Advanced Hair Transplant Clinic,"Kompleksi Halili, Rruga e Dibrës, Tiranë 1001, Albania",http://www.advancedfueclinic.com/,+355 68 222 2456,632.0,4.9,41.3346903,19.8238754,dermatologist,Albania,dermatologist_in_Albania.csv
Klinika Vivia - Klinikë Dermo Estetike,"Rruga 3 Deshmoret, Tiranë, Albania",http://klinikavivia.com/,+355 69 607 5599,86.0,4.4,41.3208541,19.7838398,dermatologist,Albania,dermatologist_in_Albania.csv
Klinike Dermo-Estetike SkinDerm Durres,"Pallati EGT, Sheshi 'Liria nr 3, Durrës 2000, Albania",,+355 68 550 0967,4.0,5.0,41.3131884,19.4464549,dermatologist,Albania,dermatologist_in_Albania.csv
Klinika Skin Blossom,"Rruga Sami Frashëri 44, Tiranë, Albania",,,14.0,3.9,41.3165822,19.8147987,dermatologist,Albania,dermatologist_in_Albania.csv
Anassa,"Mbikalimi i Kamzës, Tiranë 1051, Albania",http://anassa.al/,+355 69 700 6161,168.0,4.7,41.3446837,19.7743686,dermatologist,Albania,dermatologist_in_Albania.csv
Klinika Demiraj,"Rruga Ramazan Jella, Durrës, Albania",,+355 69 212 7175,38.0,4.7,41.3133329,19.448408,dermatologist,Albania,dermatologist_in_Albania.csv
Helen's Bio Line,"8RJQ+39F, Tiranë, Albania",https://www.helensbioline.com/,,12.0,4.7,41.3299399,19.8381265,dermatologist,Albania,dermatologist_in_Albania.csv
American Beauty Clinic,"Agi Kos, Nr c2, Objekti 3, Rruga Vicianum, lokali4.1 2, Prishtinë 10000",https://americanbeautyclinic.com/,+383 48 596 596,10.0,5.0,42.6605313,21.1509951,dermatologist,Albania,dermatologist_in_Albania.csv
Anaderm Aesthetic Surgery Hospital,"Prishtinë , Kosovo, Street Zef Jubani, Prishtina 10000",https://www.klinikaanaderm.com/,+383 45 707 744,73.0,4.8,42.631382,21.1484613,dermatologist,Albania,dermatologist_in_Albania.csv
Mockingbird Clinic,"Rruga Antipatrea, Berat 5001, Albania",,+355 68 200 9431,9.0,5.0,40.7006074,19.9700307,dermatologist,Albania,dermatologist_in_Albania.csv
Kirurgjia estetike italiane Prishtine - DaVINCI,"Jusuf Gervalla, Lagja, Prishtinë 10000",http://www.davinci.al/,,173.0,4.9,42.6494541,21.1507998,dermatologist,Albania,dermatologist_in_Albania.csv
Doctors' Hospital Albania,"Rruga Pjetër Bogdani 1001, Tiranë, Albania",http://www.doctorshospital.al/,+355 67 208 4030,123.0,4.6,41.3211188,19.8144922,dermatologist,Albania,dermatologist_in_Albania.csv
Klinika Dermalight,"Rruga Daut Borici, Shkodër, Albania",,+355 67 202 3846,7.0,4.4,42.0618329,19.5114784,dermatologist,Albania,dermatologist_in_Albania.csv
Eden Laser,"Rruga Sami Frashëri, Tiranë, Albania",https://edenlaser.al/,+355 68 605 5007,97.0,4.7,41.3134938,19.8154915,dermatologist,Albania,dermatologist_in_Albania.csv
Clinique Cinq Tirana,"Kompleksi Delijorgji, Kavaja St, Tiranë, Albania",http://www.cliniquecinq.al/,+355 69 205 0530,34.0,4.0,41.3217699,19.793808,dermatologist,Albania,dermatologist_in_Albania.csv
ProDerma Clinic,"Shkalla B, Kati 2, Rruga e Kosovarëve, Kompleksi Lake View, Tiranë 1001, Albania",,+355 68 604 4704,,,41.3145154,19.8122876,dermatologist,Albania,dermatologist_in_Albania.csv
Klinikë Dermo-Estetike Nur,"8RC4+Q3H, Bulevardi Gjergj Fishta, Tiranë, Albania",,,3.0,5.0,41.321943,19.8052316,dermatologist,Albania,dermatologist_in_Albania.csv
Luxe Skin Clinic,"Rruga Ukraina e Lirë, Tiranë 1001, Albania",,+355 69 388 9804,27.0,,41.3224881,19.8187338,dermatologist,Albania,dermatologist_in_Albania.csv
Biotech Clinic,"Rruga Bardhok Biba, Tiranë 1001, Albania",,+355 69 220 3312,1.0,5.0,41.3318067,19.8189087,dermatologist,Albania,dermatologist_in_Albania.csv
Dermaluxe Clinic Tirana,"Kompleksi Delijorgji, Kavaja St, Tiranë, Albania",https://dermaluxe.al/,+355 69 767 2277,46.0,4.9,41.3231044,19.7953891,dermatologist,Albania,dermatologist_in_Albania.csv
Éclat - Aesthetic Clinic,"Jakov Xoxa, Prishtinë 10000",,+383 49 757 888,19.0,4.8,42.6470239,21.1722713,dermatologist,Albania,dermatologist_in_Albania.csv
estethica,"30 Rrugë Nekibe Kelmendi, Prishtinë 10000",http://www.estethica-ks.com/,+383 49 660 660,1206.0,5.0,42.6299485,21.1608969,dermatologist,Albania,dermatologist_in_Albania.csv
SkinMed Albania,"PRANE ISH UET, RRUGA ""SALI BUTKA"", GODINA 2, KATI 1, APARTAMENTI NR.3, Tiranë 1001, Albania",,+355 69 995 7773,12.0,4.7,41.3226518,19.8016333,dermatologist,Albania,dermatologist_in_Albania.csv
Dermatovenerolog Mujadin Tërshnjaku(Estetika),"Rr William Walker, Prizren 20000",,+383 44 315 413,2.0,5.0,42.2079321,20.7246258,dermatologist,Albania,dermatologist_in_Albania.csv
Derma Pure,"Wesley Clark, Pejë 30000",https://www.facebook.com/dermapure.clinicks,+383 49 164 343,30.0,4.9,42.6610654,20.2808265,dermatologist,Albania,dermatologist_in_Albania.csv
Doctor Bler,"Rruga Pandeli Qyrana, Fier 9301, Albania",https://dermaluxe.al/,+355 69 995 2881,1.0,5.0,40.7302188,19.5644819,dermatologist,Albania,dermatologist_in_Albania.csv
Klinika Gentiana Grelorgen,"Rruga Lule Bore, Durrës, Albania",,+355 69 668 8226,2.0,5.0,41.306493,19.489937,dermatologist,Albania,dermatologist_in_Albania.csv
Klinika Dermastyle,"Rruga e Bogdanëve 9, Tiranë 1000, Albania",,+355 69 255 2258,2.0,5.0,41.3294984,19.809765,dermatologist,Albania,dermatologist_in_Albania.csv
ART LASER Clinic,"Rruga: Andon Zako Çajupi, Bld.3 Ap.10, Tiranë 1016, Albania",,+355 68 407 3733,7.0,4.3,41.319609,19.8128845,dermatologist,Albania,dermatologist_in_Albania.csv
Alpha Medical Clinic,"Alpha Medical Clinic, Rruga Kongresi i Manastirit, Pallati ASL, Kati 2, Tiranë 1025, Albania",,+355 68 209 3251,16.0,3.8,41.3404541,19.8391298,dermatologist,Albania,dermatologist_in_Albania.csv
Derma Center by Healthcare Project,"Metro"", te ish-vila Ferdinand, Rruga ""Nikolla Tupe"", Bllok Ngjitur me hotel, Tiranë 1001, Albania",,+355 68 679 0541,26.0,5.0,41.3198513,19.8180241,dermatologist,Albania,dermatologist_in_Albania.csv
Medam Clinic,"Rruga Donika Kastrioti, Tiranë 1001, Albania",,+355 69 266 2336,8.0,5.0,41.3210129,19.8193255,dermatologist,Albania,dermatologist_in_Albania.csv
Klinika Gjermane Dermoestetike,"Rruga Don Bosko, Tiranë, Albania",,+355 68 474 5465,19.0,5.0,41.3416041,19.7961072,dermatologist,Albania,dermatologist_in_Albania.csv
Le Rêve Clinique,"8RC9+47W, Tiranë, Albania",,,7.0,,41.3202408,19.8182326,dermatologist,Albania,dermatologist_in_Albania.csv
Fiziomed,"Nysret Seharsoj, Prizren 20000",http://www.fiziomed.com/,+383 44 366 009,16.0,4.8,42.2058716,20.7318058,dermatologist,Albania,dermatologist_in_Albania.csv
Wellness Medical Services Albania,"Durrës, Albania",,+355 69 446 6774,108.0,5.0,41.3144373,19.4749445,dermatologist,Albania,dermatologist_in_Albania.csv
Miliona Aesthetic,"Rruga B, Prishtinë 10000",http://miliona.com/,+383 44 911 222,84.0,4.6,42.6550665,21.1782976,dermatologist,Albania,dermatologist_in_Albania.csv
International Hair Clinic - Hair Transplant - Eyebrow Transplant,"Bulevardi Gjergj Fishta 146, Tiranë 1001, Albania",https://internationalhairclinic.com/,+355 68 806 0800,146.0,4.9,41.3210239,19.7948648,dermatologist,Albania,dermatologist_in_Albania.csv
iDerm,"65 Azem Bejta, Prizren 20000",https://www.facebook.com/idermpz,+383 44 515 105,9.0,3.8,42.2135357,20.7322064,dermatologist,Albania,dermatologist_in_Albania.csv
Rare Clinic Aesthetic,"Nënë Tereza, Fushë-Kosovë 12000",,+383 48 511 955,18.0,5.0,42.6422579,21.1099006,dermatologist,Albania,dermatologist_in_Albania.csv
Ordinanca për sëmundje të lëkurës Dr Arsim Riza “Leta”,"114 Deshmoret e Lirise, Gjakova 50000",,+383 44 247 327,1.0,5.0,42.3705377,20.4305078,dermatologist,Albania,dermatologist_in_Albania.csv
Doc Derma Clinic,"Rruga Vaso Pasha, Tiranë, Albania",,,,,41.3225877,19.8156566,dermatologist,Albania,dermatologist_in_Albania.csv
Qendër Dermo-Estetike Albana Dyli,"Rruga Kostaq Koxhaku, Berat 5001, Albania",,+355 69 253 6295,18.0,,40.7017696,19.9600032,dermatologist,Albania,dermatologist_in_Albania.csv
Viso Aesthetics Albania,"Rruga Asim Zeneli, Tiranë 1001, Albania",https://viso.al/,+355 69 702 0929,60.0,5.0,41.3202775,19.8247856,dermatologist,Albania,dermatologist_in_Albania.csv
TrueLife Clinic,"Rruga B, Prishtinë 10000",,+383 48 811 555,21.0,5.0,42.6496501,21.1738625,dermatologist,Albania,dermatologist_in_Albania.csv
Dr. Cen Morina,"Kaçaniku 51, Prizren 20000",,+383 44 126 788,2.0,5.0,42.2079482,20.7305291,dermatologist,Albania,dermatologist_in_Albania.csv
Elio Medical Clinic,"Rruga Xhanfize Keko, Tiranë 1001, Albania",https://eliomedical.al/,+355 69 606 6960,15.0,5.0,41.3404591,19.8437274,dermatologist,Albania,dermatologist_in_Albania.csv
Vertigo & ORL Clinic. Dr Evis Bendo,"B, kati II, Kongresi i Manastirit, rezidenca ZIRKON, shkalla, Tiranë 1001, Albania",,+355 69 208 7471,63.0,4.9,41.3395947,19.8377845,dermatologist,Albania,dermatologist_in_Albania.csv
Inner Beauty,"Bulevardi Gjergj Fishta 52, Tiranë 1023, Albania",https://innerbeauty.al/,+355 69 402 2208,39.0,5.0,41.3222194,19.8038813,dermatologist,Albania,dermatologist_in_Albania.csv
TITI HAIR CLINIC,"Sllatine e madhe, Fushe",,+383 49 337 300,,,42.5986532,21.0210462,dermatologist,Albania,dermatologist_in_Albania.csv
Asa Medical Aesthetics,"Rruga B, Prishtinë 10000",,+383 49 293 747,65.0,4.6,42.6522425,21.1771033,dermatologist,Kosovo,dermatologist_in_Kosovo.csv
Ordinanca Dermatologjike DermaMegi,"M54M+863, Prishtinë 10000",,+377 44 238 750,7.0,3.1,42.6557643,21.1830553,dermatologist,Kosovo,dermatologist_in_Kosovo.csv
Klinika e Dermatovenerologjisë,"10000 Unnamed Road, Prishtinë 10000",,,1.0,1.0,42.6433131,21.1646911,dermatologist,Kosovo,dermatologist_in_Kosovo.csv
Poliklinika SHOSHI,"Kodra e Diellit, Rr. Rifat Burgjeviq Hyrja 8 Nr. 1. (afër Qendrës Tregtare) Prishtinë, Hyrja 8 Nr. 1. Rifat Burdzeviç, Prishtinë 10000",,,18.0,4.6,42.6520832,21.1671185,dermatologist,Kosovo,dermatologist_in_Kosovo.csv
ECHO MED Qendra Diagnostike Terapeutike,"nr. 3 Rruga Xheladin Kurbaliu, Prishtinë 10000",,+383 44 734 394,1.0,,42.6680951,21.1701668,dermatologist,Kosovo,dermatologist_in_Kosovo.csv
University Clinical Center of Kosovo,"J5V6+98V, Prishtinë 10000",https://shskuk.rks-gov.net/QKUK/QKUK/historikuQKUK,+381 38 500600,89.0,3.1,42.6434827,21.1607975,dermatologist,Kosovo,dermatologist_in_Kosovo.csv
To Fill Clinic,"Rruga Ferid Curri, Prishtinë 10000",https://www.facebook.com/profile.php?id=100087602140996,+383 45 717 873,10.0,5.0,42.6598176,21.139417,dermatologist,Kosovo,dermatologist_in_Kosovo.csv
Este Medical Kosova,"Shkup, km, Magjistralja, 3, Prishtinë 10000",https://www.estemedicalgroup.al/,+383 48 384 384,10.0,5.0,42.6060201,21.1359354,dermatologist,Kosovo,dermatologist_in_Kosovo.csv
EEV Group,"Agim Ramadani, Prishtinë 10000",https://eevgroupks.com/,,2.0,5.0,42.6610501,21.1648029,dermatologist,Kosovo,dermatologist_in_Kosovo.csv
Emergency,"3 Stomatologjia, Prishtinë 10000",,,4.0,3.5,42.6451936,21.1622295,dermatologist,Kosovo,dermatologist_in_Kosovo.csv
American Clinic - Dr.Behar Kusari,"M2, Çagllavicë, Prishtinë 10000",http://american-art.net/,+383 44 126 188,125.0,4.1,42.6204039,21.1445569,dermatologist,Kosovo,dermatologist_in_Kosovo.csv
Hana Dermatology Estetic,,,+383 44 440 050,,,42.6663801,21.1587273,dermatologist,Kosovo,dermatologist_in_Kosovo.csv
Anaderm,"Rr, 33, 1 Hilmi Rakovica, Prishtinë",,,1.0,1.0,42.652786,21.1706923,dermatologist,Kosovo,dermatologist_in_Kosovo.csv
Dr. Vivien,"Bill Clinton, Prishtinë 10000",,+383 44 762 312,2.0,5.0,42.65479,21.153817,dermatologist,Kosovo,dermatologist_in_Kosovo.csv
DOKTORI JUAJ,"Ali Vitia, Prishtinë 10000",https://doktorijuaj.com/,+383 44 444 752,5.0,5.0,42.6376698,21.1531732,dermatologist,Kosovo,dermatologist_in_Kosovo.csv
Dardanica Clinic SH.P.K.,"Muhamet Çami, Prishtinë 10000",http://www.dardanica-clinic.com/,+383 45 448 822,6.0,5.0,42.6433536,21.169272,dermatologist,Kosovo,dermatologist_in_Kosovo.csv
Derma Clinic Dr. Dafina Ibrahimi-Devaja,"FF5C+JRM, Gjilan 60000",https://www.facebook.com/DermaClinicDA/,+383 45 969 270,1.0,5.0,42.4590828,21.4720451,dermatologist,Kosovo,dermatologist_in_Kosovo.csv
Estetika skin,"rruga ali hajdari, Gjilan",,,1.0,5.0,42.4690305,21.4622439,dermatologist,Kosovo,dermatologist_in_Kosovo.csv
Vioderm,"Rruga Emin Duraku, Ferizaj 70000",,+383 45 120 020,2.0,5.0,42.3732033,21.1565401,dermatologist,Kosovo,dermatologist_in_Kosovo.csv
Poliklinika Uro-Med,"Fatmir Ratkoceri, Ferizaj 70000",,+383 45 324 000,11.0,4.5,42.3811136,21.15353,dermatologist,Kosovo,dermatologist_in_Kosovo.csv
EPIDERMIS - Advanced Aesthetics,"Driton Islami, Ferizaj 70000",,+383 49 100 183,3.0,5.0,42.3771097,21.1408827,dermatologist,Kosovo,dermatologist_in_Kosovo.csv
Poliklinika Fati- Vushtrri,"Gjon Buzuku, Vushtrri 42000",,+383 49 818 144,2.0,5.0,42.8218465,20.974281,dermatologist,Kosovo,dermatologist_in_Kosovo.csv
Ordinanca Dermatologjike “Derma”,"p.n Gjon Buzuku, Skënderaj 41000",https://www.facebook.com/p/Ordinanca-Dermatologjike-Derma-100063816504152/,+383 44 196 143,3.0,,42.7493588,20.7902115,dermatologist,Kosovo,dermatologist_in_Kosovo.csv
Poliklinika Beni,"Bedri Pejani, Vushtrri 42000",,+383 44 732 162,1.0,5.0,42.8236334,20.9631371,dermatologist,Kosovo,dermatologist_in_Kosovo.csv
